OTU	k	p	c	o	f	g	s	OTU_lowest	Gut1	Gut2	Gut3	Gut4	Gut5	Gut6	percReads
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;__;__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			f__Rhodobacteraceae	0	0	0	0	0	15	0.01200682
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae			f__Acetobacteraceae	6584	17181	841	31483	4450	23026	66.88999352
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Gluconobacter;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconobacter		g__Gluconobacter	578	452	210	492	1484	437	2.924060867
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Swaminathania;s__	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Swaminathania		g__Swaminathania	51	0	0	0	0	0	0.040823188
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__asaccharolytica	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	asaccharolytica	Sphingomonas asaccharolytica	0	0	0	18	0	58	0.060834554
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;__;__	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			f__Alcaligenaceae (1)	0	0	0	0	0	63	0.050428643
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__;s__	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae			f__Alcaligenaceae (2)	0	0	0	0	0	8	0.006403637
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__bryophila	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	bryophila	Burkholderia bryophila	5	0	0	0	0	0	0.004002273
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			f__Comamonadaceae (1)	0	0	0	7	0	14	0.016809548
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			f__Comamonadaceae (2)	113	0	0	0	0	0	0.090451376
